HENNINGS|[77,95,76,87,94,96,83,94,90] 
EDMONDS|[87,73,89,96,78,96,98,96,78]
TALIAFERRO|[91,89,73,92,70,95,92,85,83]
ALBRIGHT|[91,76,89,81,89,86,94,79,76]
TERRY|[86,98,82,97,75,77,76,98,88]
CORTEZ|[81,75,85,73,84,76,96,98,82]
MULLER|[88,100,94,75,80,86,98,71,79]
QUINTERO|[90,78,96,100,76,100,81,79,95]
EMEHEL|[85,93,95,86,82,90,71,100,94]
ISAAC|[88,98,71,97,95,73,86,70,87]
DALY|[75,88,99,91,89,82,70,90,93]
SICKLER|[100,80,74,76,82,96,90,77,79]
LEISNER|[84,97,82,89,72,77,85,87,78]
INMAN|[81,92,76,85,83,82,88,96,100]
LOFTIN|[75,83,89,98,78,75,89,96,94]
CLEMENTE|[96,100,90,84,93,97,100,76,73]
BARNARD|[74,75,81,95,73,92,95,94,99]
SANCHEZ|[88,84,88,96,81,72,82,86,100]
SIMONS|[70,70,72,70,94,89,74,89,96]
LANDEN|[98,72,95,89,95,100,76,71,85]
